"GHO","probability_desease"
"1","TB_tot_newrel",0.196449906982905
"2","WHS3_40",0.00919867411072594
"3","WHS3_41",0.000112550724805006
"4","WHS3_42",0.000265430991871862
"5","WHS3_43",0.00450836875995175
"6","WHS3_45",0.00791199613008781
"7","WHS3_46",0.000396921631068682
"8","WHS3_47",0.0018740308108403
"9","WHS3_48",0.743945467926293
"10","WHS3_49",1.8917231859608e-05
"11","WHS3_50",3.9286145780385e-05
"12","WHS3_51",1.61045978660931e-06
"13","WHS3_52",1.03092108875202e-05
"14","WHS3_53",0.0213104544913722
"15","WHS3_55",4.64991910218183e-06
"16","WHS3_56",0.000157099218057128
"17","WHS3_57",0.00353679651671611
"18","WHS3_62",0.0102575287378894
